Rayon;Date;Num_Ticket;ID Article;Article;Quantite;Prix U. TTC;Total HT;Total TTC;Montant TVA;Taux TVA
ENFANTS;21/04/2026 16:16:33;13776;6;GROSSE PIECE ENF;1;4;3.333333;4;0.666667;20
SAC KRAFT;21/04/2026 16:16:40;13776;46;SAC KRAFT 0,25;1;0.25;0.208333;0.25;0.041667;20
PRIX RONDS;21/04/2026 17:31:15;13777;48;PRIX RONDS;1;1;0.833333;1;0.166667;20
PRIX RONDS;21/04/2026 17:31:31;13777;48;PRIX RONDS;1;1;0.833333;1;0.166667;20
LAYETTES;21/04/2026 17:34:29;13778;55;CHEMISIER ML LAY.;1;2;1.666667;2;0.333333;20
LAYETTES;21/04/2026 17:34:54;13778;57;CHEMISIER MC LAY.;1;2;1.666667;2;0.333333;20
LAYETTES;21/04/2026 17:35:07;13778;12;MANCHE COURTE LAY.;1;1;0.833333;1;0.166667;20
LAYETTES;21/04/2026 17:35:19;13778;12;MANCHE COURTE LAY.;1;1;0.833333;1;0.166667;20
LAYETTES;21/04/2026 17:35:31;13778;13;PANTALON LAY.;1;2;1.666667;2;0.333333;20
LAYETTES;21/04/2026 17:35:40;13778;13;PANTALON LAY.;1;3.5;2.916667;3.5;0.583333;20
LAYETTES;21/04/2026 17:35:51;13778;13;PANTALON LAY.;1;2;1.666667;2;0.333333;20
FEMME;21/04/2026 17:36:12;13778;44;PYJAMA FEMME;1;4;3.333333;4;0.666667;20
OPERATION;21/04/2026 17:40:31;13779;50;OPERATION;1;0.5;0.416667;0.5;0.083333;20
OPERATION;21/04/2026 17:40:45;13779;50;OPERATION;1;0.5;0.416667;0.5;0.083333;20
OPERATION;21/04/2026 17:40:59;13779;50;OPERATION;1;1;0.833333;1;0.166667;20
ENFANTS;21/04/2026 17:41:11;13779;3;PANTALON ENF;1;3.5;2.916667;3.5;0.583333;20
ENFANTS;21/04/2026 17:41:22;13779;4;JUPE ENF;1;2;1.666667;2;0.333333;20
ENFANTS;21/04/2026 17:41:32;13779;3;PANTALON ENF;1;2;1.666667;2;0.333333;20
SAC KRAFT;21/04/2026 17:41:45;13779;46;SAC KRAFT 0,25;1;0.25;0.208333;0.25;0.041667;20
ENFANTS;21/04/2026 18:12:41;13780;4;JUPE ENF;1;2;1.666667;2;0.333333;20
ENFANTS;21/04/2026 18:12:56;13780;4;JUPE ENF;1;2;1.666667;2;0.333333;20
ENFANTS;21/04/2026 18:13:14;13780;2;MANCHE COURTE ENF;1;2;1.666667;2;0.333333;20
ENFANTS;21/04/2026 18:13:23;13780;2;MANCHE COURTE ENF;1;1;0.833333;1;0.166667;20
ENFANTS;21/04/2026 18:13:32;13780;4;JUPE ENF;1;2;1.666667;2;0.333333;20
ENFANTS;21/04/2026 18:13:38;13780;2;MANCHE COURTE ENF;1;1;0.833333;1;0.166667;20
ENFANTS;21/04/2026 18:13:55;13780;4;JUPE ENF;1;2;1.666667;2;0.333333;20
SAC KRAFT;21/04/2026 18:14:10;13780;46;SAC KRAFT 0,25;1;0.25;0.208333;0.25;0.041667;20
KINTSU;21/04/2026 18:14:31;13780;31;KINTSU;1;1;1;1;0;0
OPERATION;21/04/2026 18:18:19;13781;50;OPERATION;1;1;0.833333;1;0.166667;20
ENFANTS;21/04/2026 18:18:46;13781;3;PANTALON ENF;1;3;2.5;3;0.5;20
ENFANTS;21/04/2026 18:19:12;13781;1;MANCHE LONGUE ENF;1;5;4.166667;5;0.833333;20
ENFANTS;21/04/2026 18:19:29;13781;3;PANTALON ENF;1;5;4.166667;5;0.833333;20
ENFANTS;21/04/2026 18:19:42;13781;2;MANCHE COURTE ENF;1;2;1.666667;2;0.333333;20
SAC KRAFT;21/04/2026 18:19:54;13781;46;SAC KRAFT 0,25;1;0.25;0.208333;0.25;0.041667;20
FEMME;21/04/2026 18:27:46;13782;43;ROBE FEMME;1;5;4.166667;5;0.833333;20
LAYETTES;21/04/2026 18:28:02;13782;17;ACCESSOIRE LAY.;1;1;0.833333;1;0.166667;20
LAYETTES;21/04/2026 18:29:28;13782;19;ENS. PYJAMA LAY.;1;2;1.666667;2;0.333333;20
ENFANTS;21/04/2026 18:29:43;13782;2;MANCHE COURTE ENF;1;2;1.666667;2;0.333333;20
FEMME;21/04/2026 18:29:51;13782;43;ROBE FEMME;1;5;4.166667;5;0.833333;20
LAYETTES;21/04/2026 18:30:25;13782;12;MANCHE COURTE LAY.;1;1;0.833333;1;0.166667;20
ENFANTS;21/04/2026 18:30:41;13782;1;MANCHE LONGUE ENF;1;5;4.166667;5;0.833333;20
LAYETTES;21/04/2026 18:30:57;13782;59;PYJAMA BAS LAY.;1;2;1.666667;2;0.333333;20
LAYETTES;21/04/2026 18:31:14;13782;13;PANTALON LAY.;1;2;1.666667;2;0.333333;20
LAYETTES;21/04/2026 18:31:33;13782;56;CHEMISE MC LAY.;1;1;0.833333;1;0.166667;20
LAYETTES;21/04/2026 18:31:47;13782;56;CHEMISE MC LAY.;1;2.5;2.083333;2.5;0.416667;20
LAYETTES;21/04/2026 18:32:06;13782;13;PANTALON LAY.;1;2;1.666667;2;0.333333;20
LAYETTES;21/04/2026 18:32:18;13782;59;PYJAMA BAS LAY.;1;2;1.666667;2;0.333333;20
LAYETTES;21/04/2026 18:32:33;13782;13;PANTALON LAY.;1;3.5;2.916667;3.5;0.583333;20
LAYETTES;21/04/2026 18:32:40;13782;56;CHEMISE MC LAY.;1;1;0.833333;1;0.166667;20
LAYETTES;21/04/2026 18:32:48;13782;56;CHEMISE MC LAY.;1;1;0.833333;1;0.166667;20
LAYETTES;21/04/2026 18:32:56;13782;56;CHEMISE MC LAY.;1;1;0.833333;1;0.166667;20
FEMME;21/04/2026 18:33:15;13782;68;JUPE FEMME;1;5;4.166667;5;0.833333;20
ENFANTS;21/04/2026 18:33:33;13782;8;CHAUSSURES ENF;1;10;8.333333;10;1.666667;20
FEMME;21/04/2026 18:39:11;13783;26;CHAUSSURES FEMME;1;5;4.166667;5;0.833333;20
FEMME;21/04/2026 18:39:34;13783;83;COMBI PANTALON FEMME;1;8;6.666667;8;1.333333;20
ENFANTS;21/04/2026 18:39:51;13783;2;MANCHE COURTE ENF;1;3;2.5;3;0.5;20
PRIX RONDS;21/04/2026 18:40:02;13783;48;PRIX RONDS;1;3;2.5;3;0.5;20
PRIX RONDS;21/04/2026 18:40:17;13783;48;PRIX RONDS;1;1;0.833333;1;0.166667;20
OPERATION;21/04/2026 18:44:29;13784;50;OPERATION;1;3;2.5;3;0.5;20

